"【药品名称】
通用名称：阿奇霉素葡萄糖注射液
汉语拼音：Zhusheyong Aqimeisu Juyuansuanerqingna",【成份】本品主要成份为阿奇霉素枸橼酸二氢钠盐,【性状】本品为白色疏松块状物或粉末,"【适应症】
本品适用与敏感致菌株所引起的下列感染：
1.由肺炎衣原体、流感嗜血杆菌、嗜血军团菌、卡他摩拉菌、金黄色葡萄球菌或肺炎链球菌引起的需要首先采取静脉滴注治疗的社区获得性肺炎。
2.由沙眼衣原体、淋病双球菌、人型支原体引起的需首先采取静脉滴注治疗的盆腔炎。若怀疑合并厌氧菌感染，应合用抗厌氧菌的抗菌素。"
"【药品名称】
通用名称：氨力农注射液
英文名称：Amrinone Injection",【成份】氨力农,【性状】本品为淡黄色或黄色的澄明液体。,"【适应症】
适用于对洋地黄、利尿剂、血管扩张剂治疗无效或效果欠佳的各种原因引起的急、慢性顽固性充血性心力衰竭。"
"【药品名称】
通用名称：阿司匹林双嘧达莫片
汉语拼音：Asipilin Shuangmidamo Pian",【成份】本品每片含阿司匹林75mg、双嘧达莫25mg。,【性状】本品为肠溶衣与薄膜衣的双层包衣片，内层含阿司匹林，外层含双嘧达莫。,"【适应症】
冠状血管扩张和抗血小板凝聚剂，有协同降低血小板凝聚作用，用于血栓栓塞的防治，降低心肌梗塞、脑血栓的形成及慢性心绞痛的治疗，也可用于外科手术后瓣膜病及人工瓣膜手术，原发性、复发性血栓静脉炎等。"
"【药品名称】
通用名称：安吖啶注射液
英文名称：Amsacrine Injection",【成份】安吖啶,【性状】本品为橙红色的澄明液体。,"【适应症】
对急性白血病和恶性淋巴瘤有效。对蒽环类和阿糖胞苷产生耐药的患者无明显交叉耐药性，部分患者仍有效。"
"【药品名称】
通用名称：氨基己酸注射液
汉语拼音：AnjijisuanZhusheye",【成份】化学名称：6-氨基己酸。,【性状】本品为无色或几乎无色的澄明液体。,"【适应症】
适用于预防及治疗血纤维蛋白溶解亢进引起的各种出血。（1）前列腺、尿道、肺、肝、胰、脑、子宫、肾上腺、甲状腺等富有纤溶酶原激活物脏器的外伤或手术出血，组织纤溶酶原激活物（t-PA）、链激酶或尿激酶过量引起的出血。（2）弥漫性血管内凝血（DIC）晚期，以防继发性纤溶亢进症。（3）可作为血友病患者拨牙或口腔手术后出血或月经过多的辅助治疗。（4）可用于上消化道出血、咯血、原发性血小板减少性紫癜和白血病等各种出血的对症治疗，对一般慢性渗血效果显著；对凝血功能异常引起的出血疗效差；对严重出血、伤口大量出血及癌肿出血等无止血作用。（5）局部应用：0.5%溶液冲洗膀胱用于术后膀胱出血；拨牙后可用10%溶液嗽口和蘸药的棉球填塞伤口；亦可用5%～10%溶液纱布浸泡后敷帖伤口。"
"【药品名称】
通用名称：氨甲环酸注射液
英文名称：Tranexamic Acid Injection
汉语拼音：Anjiahuansuan Zhusheye",【成份】本品主要成份为：氨甲环酸,,"【适应症】
1.本品主要用于急性或慢性、局限性或全身性原发性纤维蛋白溶解亢进所致的各种出血。弥散性血管内凝血所致的继发性高纤溶状态，在未肝素化前，一般不用本品。2.用于前列腺、尿道、肺、脑、子宫、肾上腺、甲状腺等富有纤溶酶原激活物脏器的外伤或手术出血。3.用作组织型纤溶酶原激活物(t-PA)、链激酶及尿激酶的拮抗物。4.用于人工流产、胎盘早期剥落、死胎和羊水栓塞引起的纤溶性出血，以及病理性宫腔内局部纤溶性增高的月经过多症。5.用于中枢神经病变轻症出血，如蛛网膜下腔出血和颅内动脉瘤出血，应用本品止血优于其它抗纤溶药，但必须注意并发脑水肿或脑梗塞的危险性，至于重症有手术指征患者，本品仅可作辅助用药。6.用于治疗遗传性血管神经性水肿，可减少其发作次数和严重程度。7.血友病患者发生活动性出血，可联合应用本药。8.用于防止或减轻因子Ⅷ或因子Ⅸ缺乏的血友病患者拔牙或口腔手术后的出血。"
"【药品名称】
通用名称：奥硝唑注射液
汉语拼音：Aoxiaozuo Zhusheye",【成份】奥硝唑。,【性状】本品为无色或几乎无色的澄明液体。,"【适应症】
1.用于治疗由脆弱拟杆菌、狄氏拟杆菌、卵园拟杆菌、多形拟杆菌、普通拟杆菌、梭状芽胞杆菌、真杆菌、消化球菌和消化链球菌、幽门螺杆菌、黑色素拟杆菌、梭杆菌、CO2噬织维菌、牙龈类杆菌等敏感厌氧菌所引起的多种感染性疾病，包括：1)腹部感染：腹膜炎、腹内脓肿、肝脓肿等；2)盆腔感染：子宫内膜炎、子宫肌炎、输卵管或卵巢脓肿、盆腔软组织感染、嗜血杆菌阴道炎等；3)口腔感染：牙周炎、根尖周炎、冠周炎、急性溃疡性龈炎等；4)外科感染：伤口感染、表皮脓肿、褥疮溃疡感染、蜂窝组炎、气性坏疽等；5)脑部感染：脑膜炎、脑脓肿；6)败血症、菌血症等严重厌氧菌感染等。2.手术前预防感染和手术后厌氧菌感染的治疗。3.治疗消化系统严重阿米巴虫病，如阿米巴痢疾、阿米巴肝脓肿等。"
"【药品名称】
通用名称：18种氨基酸注射液
商品名称：天泉乐欣
英文名称：18 Injection Amino Acidi
汉语拼音：18zhong Anjisuan Zhusheye","【成份】复方制剂，由18种氨基酸与山梨醇配制而
成的灭菌水溶液。其组分为每1000ml含：5%
L-脯氨酸、L-丝氨酸、L-丙氨酸、L-异亮氨酸、L-亮氨酸、L-门冬氨酸、L-酪氨酸、L-谷氨酸、L-苯丙氨酸、L-精氨酸盐酸盐、L-赖氨酸盐酸盐、 L-缬氨酸 、L-苏氨酸、L-组氨酸盐酸盐、L-色氨酸、L-甲硫氨酸、L-胱氨酸、甘氨酸、山梨醇、亚硫酸氢钠辅料：EDTA-2Na",【性状】无色或几乎无色的澄明液体。,"【适应症】
蛋白质摄入不足、吸收障碍等氨基酸不能满足机体代谢需要的患者。亦用于改善手术后病人的营养状况。"
"【药品名称】
通用名称：阿苯达唑干糖浆",,,
"【药品名称】
通用名称：阿苯达唑咀嚼片
汉语拼音：Abendazuo Jujuepian",,,"【适应症】
用于蛔虫并蛲虫玻"
"【药品名称】
通用名称：阿苯达唑口服乳剂
英文名称：Albendazole Oral Emulsion
汉语拼音：AbendazuoKoufuruji",【成份】阿苯达唑。,,"【适应症】
驱虫药，用于治疗包虫病。"
"【药品名称】
通用名称：阿苯达唑糖丸
英文名称：Abendazuo Tangwan
汉语拼音：Albendazole Sugar Pills",【成份】阿苯达唑,【性状】本品为表面带有波纹的塔形糖粒，可带有食用色素的颜色，有芳香气味，味甜。,"【适应症】
抗蠕虫药。"
"【药品名称】
通用名称：阿苯糖丸
汉语拼音：a ben tang wan",【成份】本品为复方制剂，每丸含阿司匹林25毫克，苯巴比妥2.5毫克。辅料为：,,"【适应症】
用于6岁以下小儿解热、镇痛、镇惊。"
"【药品名称】
通用名称：阿比多尔片
商品名称：玛诺苏
英文名称：Arbidol Tablets
汉语拼音：A biduoer Pian",【成份】本品主要成分为阿比多尔。,【性状】本品为薄膜衣片，除去薄膜衣后显类白色或微黄色。,"【适应症】
本品用于A、B型流感病毒等引起的上呼吸道感染。"
"【药品名称】
通用名称：阿德福韦酯胶囊
英文名称：Adefovir Dipivoxil Capsules
汉语拼音：Adefuweizhi Jiaonang",【成份】主要成份为阿德福韦酯,"【性状】本品为硬胶囊,内容物为白色或类白色颗粒或粉末。","【适应症】
本品适用于治疗有乙型肝炎病毒活动复制证据，并伴有血清氨基酸转移酶（ALT或AST）持续升高或肝脏组织学活动性病变的肝功能代偿的成年慢性乙型肝炎患者。"
"【药品名称】
通用名称：阿法骨化醇胶囊
英文名称：Alfacalcidol Capsule
汉语拼音：Afaguhuachun Jiaonang",【成份】本品主要成份为：阿法骨化醇,,"【适应症】
1.佝偻病和软骨病。2.肾性骨病。3.骨质疏松症。4.甲状旁腺功能减退症。"
"【药品名称】
通用名称：阿法骨化醇片
英文名称：Alfacalcidol Tablets",【成份】阿法骨化醇,【性状】白色片。,"【适应症】
骨质疏松症。"
