"【药品名称】
通用名称：艾迪注射液
汉语拼音：Aidi zhusheye",【成份】斑蝥、人参、黄芪、刺五加。,【性状】本品为浅棕色的澄明液体。,【功能主治】清热解毒，消瘀散结。用于原发性肝癌，肺癌，直肠癌，恶性淋巴瘤，妇科恶性肿瘤等。
"【药品名称】
通用名称：安多霖胶囊
汉语拼音：Anduolin Jiaonang",【成份】略,【性状】本品为胶囊剂，内容物为棕黄色或绿褐色粉末，气微腥，味微苦。,【功能主治】益气补血，扶正解毒。主治气血两虚证，适用于放、化疗引起的白细胞下降、免疫功能低下、食欲不振、神疲乏力头晕气短等症。对肿瘤放射治疗中因辐射损伤造成的淋巴细胞微核率增高等有改善作用，可用于辐射损伤。
"【药品名称】
通用名称：安坤颗粒
汉语拼音：Ankun Keli",【成份】牡丹皮、栀子、当归、白术、白芍、茯苓、女贞子、墨旱莲、益母草。,【性状】本品为黄棕色或棕色的颗粒；味甜、微苦。,【功能主治】滋阴清热，健脾养血。用于月经提前、量多，腰骶酸痛，下腹坠痛，心烦易怒，手足心热。
"【药品名称】
通用名称：安脑片
汉语拼音：Annao Pian",【成份】牛黄、猪胆汁粉、朱砂、冰片、水牛角浓缩粉、珍珠、黄芩、黄连、栀子、雄黄、郁金、石膏、赭石、珍珠母、薄荷脑、,【性状】本品为糖衣片，除去糖衣后，呈棕黄色；味苦，气辛凉。,【功能主治】清热解毒，豁痰开窍，镇惊熄风。用于高热神昏、烦燥谓语、抽搐痉厥、中风窍闭，头痛眩晕。亦用于高血压及一切急性炎症伴有的高热不退，神志昏迷等。
"【药品名称】
通用名称：安神补脑片
汉语拼音：an shen bu nao pian",【成份】鹿茸、制何首乌、淫羊藿、干姜、甘草、大枣、维生素B、1。辅料为淀粉。,【性状】本品为薄膜衣片，除去包衣后显黄褐色；味甘、辛、微苦。,【功能主治】补肾健脑。用于肾虚所致的失眠，健忘，头晕；神经衰弱见上述证候者。
"【药品名称】
通用名称：安神补心胶囊
汉语拼音：an shen bu xin jiao nang",【成份】丹参、五味子、石菖蒲、合欢皮、菟丝子、墨旱莲、女贞子、首乌藤、地黄、珍珠母。,【性状】本品为胶囊剂，内容物为棕褐色粉末；味涩，微酸。,【功能主治】养心安神。用于心悸失眠，头晕耳鸣。
"【药品名称】
通用名称：安神补心片
汉语拼音：Anshen Buxin Pian",【成份】丹参、五味子（蒸）、石菖蒲、合欢皮、菟丝子、墨旱莲、女贞子（蒸）、首乌藤、地黄、珍珠母、淀粉,,【功能主治】养心安神。用于心血不足引起的心悸失眠，头晕耳鸣。
"【药品名称】
通用名称：安替可胶囊
汉语拼音：Antike Jiaonang",【成份】当归、蟾皮,【性状】本品为胶囊剂，内容物为灰黄色的粉末；气清香，味甘、苦，有麻感。,【功能主治】软坚散结、解毒定痛、养血活血。用于食管癌瘀毒证，与放疗合用可增强对食管癌的疗效；用于晚期原发性肝癌瘀毒证，对不宜手术、放化疗者有一定抑制肿瘤增长作用，可改善生存质量；用于中晚期胃癌(瘀毒证)的化疗辅助治疗，配合5-FU-DDP方案(5-FU、MMC、DDP)，可改善临床症状、生存质量。
"【药品名称】
通用名称：阿归养血颗粒
汉语拼音：Egui Yangxue Keli",【成份】当归、阿胶、熟地黄、白芍、党参、黄芪、茯苓、川芎、炙甘草。,【性状】本品为棕黄色的颗粒；气微香，味甘，微苦，涩、辛。,【功能主治】补养气血。用于气血亏虚，面色萎黄，头晕乏力，月经量少色淡。
"【药品名称】
通用名称：阿归养血糖浆
汉语拼音：A Gui Yang Xue Tang Jiang",【成份】当归、阿胶、熟地黄、白芍、党参、黄芪、茯苓、川芎、炙甘草。,,【功能主治】补养气血。用于面色萎黄，头晕乏力，月经量少色淡。
"【药品名称】
通用名称：阿胶
汉语拼音：e jiao",【成份】驴皮胶。,,【功能主治】补血滋阴，润燥，止血。用于血虚萎黄，眩晕心悸，心烦不眠，肺燥咳嗽。
"【药品名称】
通用名称：阿胶补血膏
汉语拼音：Ejiao Buxue Gao",【成份】阿胶、熟地黄、党参、黄芪、枸杞子、白术。,【性状】本品为棕褐色的半流体；味甜、微苦。,【功能主治】益气补血。用于久病体弱，气虚血亏。
"【药品名称】
通用名称：阿胶补血口服液
汉语拼音：Ejiao Buxue Koufuye",【成份】阿胶液(40%)、炙黄芪、熟地黄、白术(麸炒)、党参、枸杞子。,【性状】本品为棕褐色的液体；气微，味甘、微甜。,【功能主治】益气补血。用于久病体弱，气虚血亏。
"【药品名称】
通用名称：阿胶当归合剂
汉语拼音：Ejiao Danggui Heji",【成份】当归、阿胶、熟地黄、白芍(酒制)、党参、炙黄芪、川芎(酒制)、茯苓、炙甘草。,【性状】本品为棕色至棕红色液体；具当归香气，味甜微苦。,【功能主治】补养气血。用于气血亏虚所致贫血，产后血虚，体弱，月经不调。
"【药品名称】
通用名称：阿胶口服液
汉语拼音：Ejiao Koufuye",【成份】阿胶、冰糖、黄酒、山梨酸,,【功能主治】补血滋阴，润燥。用于血虚阴亏所致面色萎黄，眩晕心悸，肢体无力，心烦不眠，肺燥咳嗽，及缺铁性贫血见上述证候者。
"【药品名称】
通用名称：阿胶泡腾颗粒
汉语拼音：Ejiao Paoteng Keli",【成份】阿胶。辅料：蔗糖、碳酸氢钠、枸橼酸、甜菊素、谷氨酸钠、橘子香精。,【性状】本品为黄棕色的颗粒，味酸甜。,【功能主治】补血滋阴，润燥，止血。用于血虚萎黄，眩晕心悸，心烦不眠，肺燥咳嗽。
"【药品名称】
通用名称：阿胶片
汉语拼音：e jiao pian",,,【功能主治】补血滋阴，润燥，止血。用于血虚萎黄，眩晕心悸，心烦不眠，肺燥咳嗽。
"【药品名称】
通用名称：阿胶三宝膏
汉语拼音：Ejiao Sanbao Gao",【成份】阿胶、黄芪、大枣。,【性状】本品为暗红棕色的稠膏；味甜。,【功能主治】补气血，健脾胃。用于气短心悸，脾虚食少。
"【药品名称】
通用名称：阿胶养血膏
汉语拼音：Ejiao Yangxue Gao",【成份】黄芪、当归、党参、阿胶、枸杞子、熟地黄、白芍、糖（炼）,,【功能主治】益气养血，滋补肝肾。用于气血两虚所致老年体弱者。
"【药品名称】
通用名称：阿胶益寿口服液
汉语拼音：Ejiao Yishou Koufuye",【成份】炙黄芪、制何首乌、阿胶、熟地黄、人参、陈皮、木香、甘草。,【性状】本品为棕红色至棕褐色液体；味甜、微苦。,【功能主治】补气养血。用于气血双亏，四肢无力，腰膝酸软，面黄肌瘦，健忘失眠，妇女产后诸虚。
"【药品名称】
通用名称：艾附暖宫丸
汉语拼音：Aifu Nuangong Wan",【成份】艾叶（炭）、香附（醋制）、吴茱萸（制）、肉桂、当归、川芎、白芍（酒炒）、地黄、炙黄芪、续断。,【性状】本品为深褐色至黑色的水蜜丸；气微，味甘而后苦、辛。,【功能主治】理气养血，暖宫调经。用于血虚气滞、下焦虚寒所致的月经不调、痛经，症见行经后错、经量少、有血块、小腹疼痛、经行小腹冷痛喜热、腰膝痠痛。
"【药品名称】
通用名称：安宫降压丸
汉语拼音：Angong Jiangya Wan",【成份】郁金、黄连、栀子、黄芩、天麻、珍珠母、黄芪、白芍、党参、麦冬、五味子（炙）、川芎、人工牛黄、水牛角浓缩粉、冰片。,【性状】本品为棕褐色的大蜜丸；气微香，味苦。,【功能主治】清热镇惊，平肝降压。用于胸中郁热，肝阳上亢引起的头目眩晕项强脑胀，心悸多梦，烦躁起急，高血压症。
"【药品名称】
通用名称：安坤赞育丸
汉语拼音：Ankun Zanyu Wan",【成份】醋香附、鹿茸、阿胶、紫河车、白芍、当归、牛膝、川牛膝、北沙参、没药（醋制）、天冬、盐补骨脂、龙眼肉、茯苓、黄柏、龟甲、锁阳、盐杜仲、秦艽、醋鳖甲、醋艾炭、白薇、醋延胡索、酒萸肉、鹿尾、枸杞子、鸡冠花、黄芪、乳香（醋制）、煅赤石脂、鹿角胶、菟丝子、酒苁蓉、鸡血藤、桑寄生、琥珀、甘草、人参、乌药、丝棉（炭）、血余炭、炒白术、西红花、地黄、砂仁、沉香、炒酸枣仁、续断、陈皮、橘红、川芎、泽泻、黄芩、青蒿、制远志、煨肉豆蔻、藁本、红花、柴胡、木香、紫苏叶、熟地黄、丹参。,【性状】本品为黑色的大蜜丸；味甜、微苦。,【功能主治】补气养血，调经止带。用于气血两亏，肝肾不足，形瘦虚赢，神倦体疲，面黄浮肿，心悸失眠，腰酸腿软，千后低烧，骨蒸潮热，月经不调，崩漏带下，产后虚弱，瘀血腹痛，大便溏泻。
"【药品名称】
通用名称：安脑丸
汉语拼音：Annao Wan",【成份】人工牛黄、珍珠、冰片、黄连、郁金、黄芩、栀子、猪胆汁粉、雄黄、朱砂。,【性状】本品为红棕色的蜜丸；气芳香，味苦、凉。,【功能主治】清热解毒，醒脑安神，豁痰开窍，镇惊熄风。用于高热神昏，烦躁谵语，抽搐痉厥，中风窍闭，头痛眩晕。亦用于高血压及一切急性炎症伴有的高热不退，神志昏迷等。
"【药品名称】
通用名称：安神补脑液
汉语拼音：Anshen Bunao Ye",【成份】鹿茸、何首乌、淫羊藿、干姜、甘草、大枣、维生素B1,【性状】本品为黄色或棕黄色的液体；气芳香，味甜、辛。,【功能主治】生精补髓，益气养血，强脑安神。用于肾精不足、气血两亏所致的头晕、乏力、健忘、失眠；神经衰弱症见上述证候者。
